-0.42819,-11.19,10.971
-9.1851,-3.1304,9.7627
12.498,-0.56354,12.527
4.5606,5.8462,7.2322
6.2581,0.86806,6.3726
-7.1657,4.8137,8.7762
-8.9233,2.1643,9.1953
10.874,-4.9102,12.113
5.361,-2.139,5.9438
2.3797,-4.4488,5.1964
-3.8325,-10.036,10.626
1.6241,-4.6242,4.9865
5.4973,-2.0209,5.996
2.6777,-11.155,11.258
-9.876,-1.585,9.5725
-8.8604,-3.6207,9.8261
12.127,-2.6376,12.332
11.063,-4.5826,12.193
-9.6394,-0.45277,9.4424
3.61,6.441,7.3196
5.1391,-2.2138,5.8402
11.545,6.0546,13.068
3.8516,13.285,13.857
7.0265,11.776,13.595
-2.654,-10.391,10.727
3.9596,-3.7195,5.5662
3.6101,-3.9093,5.4165
6.7406,1.0615,6.4319
1.5597,-5.1361,5.011
6.2094,-9.9587,11.545
6.149,-0.84166,6.0711
-2.7815,-10.388,10.706
10.918,-4.6452,12.157
-8.183,-5.8079,10.049
-3.5039,7.6111,8.2694
12.255,-1.5522,12.456
1.6497,7.5009,7.5858
1.1121,7.5305,7.7224
10.907,-4.8341,12.111
-8.8149,-0.49173,9.46
4.6414,5.5925,7.1722
6.7518,-9.5595,11.616
5.796,-0.18659,6.2482
9.1871,9.9518,13.393
5.6035,3.1192,6.8068
3.9272,-3.8749,5.5004
3.5981,-4.1013,5.407
10.224,-6.953,11.965
12.337,-1.6171,12.419
7.184,-8.8583,11.691
8.8867,-7.5055,11.859
5.1861,12.98,13.771
-8.636,2.8105,9.1083
11.047,-5.4376,12.13
-6.3547,5.7593,8.695
6.6852,11.493,13.607
-0.05872,-4.6841,4.7248
2.3306,13.643,13.961
-7.6797,-6.2039,10.086
-0.99754,7.9276,7.9778
-8.7369,-4.6931,9.9667
2.2819,7.039,7.5378
6.3789,-0.22276,6.2116
-0.077468,-11.053,10.982
2.0654,-11.26,11.161
11.21,-4.3513,12.181
-1.6231,7.5697,7.9981
4.8223,5.1046,7.0693
-0.85788,7.7127,7.964
0.23226,7.8525,7.8097
8.7152,10.898,13.454
8.5245,-7.4577,11.838
3.1102,6.8889,7.429
-5.6763,-8.6594,10.425
9.0765,-7.1296,11.932
12.979,1.4532,12.687
10.333,8.1396,13.213
-6.3384,-8.2912,10.327
3.3824,-4.3131,5.3583
5.8844,3.6036,6.7674
12.38,4.3207,12.906
-5.8,6.1417,8.6163
-0.74829,-11.346,10.944
10.944,-5.5243,12.097
5.0337,4.8047,7.0487
-9.0256,-4.9607,9.9377
5.8217,3.7489,6.8762
0.68333,-4.7628,4.7775
9.755,-6.7663,11.938
0.92221,-5.0335,4.9182
-4.7224,7.1438,8.4173
4.9068,5.1343,7.0925
6.0801,2.0652,6.6371
-0.64839,-10.619,10.954
9.4773,9.5547,13.334
-0.027987,-4.6176,4.7774
7.983,-8.6387,11.747
11.69,-4.0403,12.249
10.17,8.6779,13.268
3.3508,13.629,13.898
5.0802,-2.4831,5.8421
-9.6904,-1.9879,9.6036
12.134,-0.99092,12.459
-3.02,-10.588,10.716
5.6201,12.506,13.703
6.5664,11.909,13.637
4.7582,12.577,13.822
2.9754,-4.2812,5.3471
-7.2935,4.7208,8.8361
0.60059,7.8765,7.7362
5.603,-1.6777,5.9758
5.8154,-2.1159,5.9808
11.479,-3.2302,12.308
-9.1938,-2.2007,9.6582
7.0585,11.817,13.612
1.6329,14.229,14.027
-5.8217,6.2418,8.5756
-2.6023,7.7014,8.2108
5.8038,3.7105,6.8504
